Longitud de onda, Intensidad de la luz
407.81, 0.0027123244338069143
407.921, 0.0027123244338069143
408.032, 0.0027123244338069143
408.143, 0.0018318875042721684
408.254, 0.0027700376555252542
408.365, 0.01958948638890302
408.476, 0.04248141954597686
408.587, 0.014184755855586402
408.699, 0.01531904541321457
408.81, 0.014513288644320103
408.921, 0.011126930259116907
409.032, 0.012624251386720879
409.143, 0.02091555421277073
409.254, 0.018878970875601447
409.365, 0.025690105556413555
409.476, 0.01332272222660762
409.587, 0.016597145447003466
409.698, 0.02348876964010788
409.809, 0.026172630153855774
409.92, 0.012495298300173454
410.031, 0.01430781849899428
410.142, 0.022947985979661398
410.253, 0.01817779918133218
410.364, 0.019958669831202445
410.475, 0.04188896253325958
410.585, 0.15407855262584802
410.696, 0.16607419857224368
410.807, 0.1615971811659492
410.918, 0.16254278381589346
411.029, 0.16807616736075637
411.14, 0.1675184309411864
411.251, 0.16535449513500253
411.362, 0.1718530456540469
411.472, 0.17245938118674686
411.583, 0.1688315308764632
411.694, 0.1756009004853783
411.805, 0.1682407274136363
411.916, 0.1701173051521339
412.026, 0.17687205971978223
412.137, 0.17087408527890094
412.248, 0.17060363293678613
412.359, 0.17003134924149366
412.47, 0.16225798904583974
412.58, 0.16149132808827976
412.691, 0.1703875427655645
412.802, 0.16612718140408508
412.912, 0.16540049089234823
413.023, 0.1671450666199262
413.134, 0.16347491086015956
413.245, 0.17254240278065985
413.355, 0.16513715453096697
413.466, 0.16360332286846974
413.577, 0.16446474752323512
413.687, 0.1749895454309287
413.798, 0.15925312955705118
413.909, 0.17305893808340359
414.019, 0.16862785899849322
414.13, 0.16919600586291147
414.24, 0.1627051174115823
414.351, 0.1725782682853667
414.462, 0.18777905429746744
414.572, 0.17295996414050366
414.683, 0.17290769506466253
414.793, 0.16789426155240283
414.904, 0.20223264521418335
415.014, 0.16724989643269592
415.125, 0.16369983529735996
415.235, 0.17155375237575288
415.346, 0.1795497321111016
415.456, 0.18133938239097153
415.567, 0.16848592486145159
415.677, 0.16749281525947327
415.788, 0.17320938743617867
415.898, 0.16582128636082863
416.009, 0.16392347104061245
416.119, 0.17059490138094488
416.23, 0.16537059353771688
416.34, 0.1624030137169184
416.45, 0.16905841402367133
416.561, 0.23707425795750212
416.671, 0.17990332426691932
416.782, 0.1613483521239877
416.892, 0.16763006022023133
417.002, 0.17238897059035643
417.113, 0.1747195663590944
417.223, 0.17082441664556017
417.333, 0.16833435180135
417.444, 0.1696190567868088
417.554, 0.17634341466596826
417.664, 0.178489894219643
417.775, 0.16607702202994265
417.885, 0.17512306481507187
417.995, 0.17575832900695998
418.106, 0.19102983934103332
418.216, 0.18035732406437366
418.326, 0.1847186079001719
418.436, 0.18442143105139777
418.547, 0.18171131537129534
418.657, 0.18019460765292925
418.767, 0.19291134024738432
418.877, 0.18471085994685657
418.987, 0.18651088975850125
419.098, 0.1877710227751457
419.208, 0.18862438758774827
419.318, 0.19581918979544374
419.428, 0.19566173867376704
419.538, 0.18487232671717058
419.648, 0.19205329146518574
419.759, 0.19349595499325095
419.869, 0.19387986003437208
419.979, 0.18701349022565183
420.089, 0.19027994489211525
420.199, 0.1872747042198003
420.309, 0.19204316810583252
420.419, 0.19357887775220878
420.529, 0.1896740821229731
420.639, 0.22885611293512895
420.749, 0.19806642437464764
420.859, 0.19883520202688537
420.969, 0.1962291227180337
421.079, 0.21927928413920134
421.189, 0.2021359825805534
421.299, 0.19866269199309053
421.409, 0.19116969126833314
421.519, 0.20506027899490678
421.629, 0.2067962101894486
421.739, 0.19602869819436913
421.849, 0.19548753921317186
421.959, 0.1948712609117485
422.069, 0.20354352102943585
422.179, 0.19926978077404883
422.289, 0.1993597870680748
422.399, 0.2059819878809225
422.509, 0.2134092789051023
422.619, 0.5041321310254815
422.729, 0.23808677836514827
422.838, 0.20404878367051318
422.948, 0.21385398417395152
423.058, 0.21032010539220325
423.168, 0.21161179662865853
423.278, 0.21503207235231991
423.388, 0.21904969307442795
423.498, 0.22602095514248094
423.607, 0.2222202666074816
423.717, 0.25220065360152205
423.827, 0.24879531764231858
423.937, 0.22687502995515813
424.046, 0.23378152710571665
424.156, 0.23656001401368984
424.266, 0.22596711428589641
424.376, 0.2510028467324752
424.485, 0.24501926112045516
424.595, 0.23075059042169124
424.705, 0.2304061712908895
424.815, 0.23363224261794197
424.924, 0.27649939456401584
425.034, 0.24204010606672896
425.144, 0.23041309035377078
425.253, 0.2363757413277364
425.363, 0.24366814828781272
425.473, 0.24600486234417623
425.582, 0.23240210567631422
425.692, 0.23844282428859154
425.801, 0.2359056906299749
425.911, 0.2555009710365359
