Longitud de onda, Intensidad de la luz
466.873, 0.231276995625043
466.979, 0.5634642152166872
467.085, 0.2517307192881949
467.191, 0.24608868227030214
467.296, 0.1195964734380588
467.402, 0.10537359631215025
467.508, 0.2674038820722602
467.614, 0.5237711323759356
467.72, 0.11914784302427674
467.826, 0.07323135313529314
467.932, 0.11448312927664367
468.038, 0.0323324123634302
468.144, 0.12531553595721645
468.25, 0.04199312100277713
468.355, -0.0826829531741778
468.461, 0.13230395904136102
468.567, -0.05424954480386899
468.673, 0.03371240387258077
468.779, 0.09169208092587192
468.885, 0.018798647052257266
468.99, -0.10041309087357046
469.096, -0.003068927721922069
469.202, 0.3035990973246363
469.308, 0.14970920491614054
469.413, 0.19285737910847306
469.519, 0.11760870060781659
469.625, 0.04213504702875338
469.731, 0.12932270808873156
469.836, 0.09049514934763324
469.942, 0.49539445458196013
470.048, 0.17295625274607973
470.153, 0.15621224843957934
470.259, 0.1897783892888409
470.365, 0.34308779401264883
470.47, 0.26558507553130084
470.576, 0.18034966972888902
470.682, 0.09699683955513287
470.787, 0.06447076945788459
470.893, -0.02479502360215819
470.999, 0.10793164194421255
471.104, 0.1685842897210091
471.21, -0.05713324853063436
471.315, -0.2194697979932131
471.421, -0.16608013046334616
471.527, 0.4076188407800693
471.632, 0.1510112299177974
471.738, 0.05297156850226704
471.843, -0.15093669907932677
471.949, 0.04252465184120806
472.054, 0.005232738801017387
472.16, -0.15504660757937466
472.265, -0.08711299875681251
472.371, -0.18662110047589942
472.476, -0.07180602510628094
472.582, 0.08942486386667325
472.687, -0.14014984617767548
472.793, -0.27912443259843156
472.898, -0.16148177929281174
473.003, -0.20478161252823351
473.109, -0.27168328859370305
473.214, -0.32356387368953377
473.32, -0.24043164938042655
473.425, -0.050796445510099444
473.53, -0.15997112293907173
473.636, -0.2325887543187087
473.741, -0.29379857752574307
473.847, -0.28063208264381617
473.952, -0.1546390424212924
474.057, -0.04890084497777911
474.163, -0.036033124801702524
474.268, -0.2696799022501901
474.373, -0.05570152795148984
474.478, -0.3190538471853148
474.584, -0.33184748876982817
474.689, -0.0685521810076343
474.794, -0.15584240684512835
474.9, 0.4012120617610966
475.005, -0.21299144032752507
475.11, 0.17912588595851478
475.215, -0.2725639495561312
475.321, -0.1822181304148044
475.426, 0.22381821025816726
475.531, 0.14858605804430006
475.636, -0.22238343332499608
475.741, -0.27203975019610976
475.846, 0.062436860981153156
475.952, 0.31506274168223025
476.057, 0.030411532309222847
476.162, 0.07601402690699523
476.267, 0.21337414204243993
476.372, 0.617314122512577
476.477, -0.10625409860843824
476.582, 0.11075205982868033
476.687, -0.15617285361582262
476.793, -0.08315382539828459
476.898, -0.16319162362210077
477.003, -0.03596506609958869
477.108, -0.10988722497453848
477.213, -0.21971549728839676
477.318, -0.12296647823980597
477.423, 0.0514427800124981
477.528, 0.1707630346559032
477.633, 0.1817932995845356
477.738, 0.0889726679012959
477.843, -0.10072981975424856
477.948, -0.0021625253908441862
478.053, -0.015094394275404155
478.158, -0.017373224263871126
478.263, 0.11003519456580622
478.368, 0.048517826988909954
478.473, 0.26477635863112325
478.578, 0.17054186886412293
478.682, -0.031254632887880995
478.787, 0.24147601472845642
478.892, 0.12247892350200124
478.997, 0.26906459153446755
479.102, 0.11686557022675033
479.207, 0.0638299053270651
479.312, 0.39284414057747513
479.417, 0.19818907658326493
479.521, 0.09159632740410485
479.626, 0.33487810428447207
479.731, 0.21344377803940578
479.836, 0.17898054862397028
479.941, 0.5009200916324086
480.045, 0.4264168360121044
480.15, 0.3983308084019694
480.255, 0.3082761708234459
480.36, 0.16612155042715304
480.465, 0.34733759809985815
480.569, 0.6613361945908436
480.674, 0.25528903906894324
480.779, 0.06732429527051423
480.883, 0.11802288067624644
480.988, 0.2657735660546246
481.093, 0.18168290345758462
481.197, 0.22775559689965064
481.302, 0.19734093850746073
481.407, 0.29617254346097555
481.511, 3.718689448736697
481.616, 0.4975597319574149
481.721, 0.2146936709320052
481.825, 0.664432665057729
481.93, 0.1456828861669486
482.035, 0.11914842214898777
482.139, 0.32378546695153193
482.244, 0.29220139019768177
482.348, 0.17629883819695769
482.453, 0.2286590116039498
482.557, 0.33997380791136655
482.662, 0.26996519962538323
482.767, 0.12095813510016065
482.871, 0.17031815838752598
482.976, 0.17068722789911703
483.08, 0.27660258587230524
483.185, 0.6657449691555282
483.289, 0.2124340350712634
483.394, 0.2571453013566843
483.498, 0.3639266808421046
483.603, 0.2288287267662705
483.707, 0.33999138348855096
483.811, 0.4400123981043002
483.916, 0.5654513968429936
484.02, 0.3198847316305346
484.125, 0.5546013421693367
484.229, 0.4469064775623029
484.333, 0.6180782068859497
484.438, 0.34267186710306147
484.542, 0.3627847959588673
484.647, 0.29856599499777925
484.751, 0.39470125519579646
484.855, 0.40568415525671997
484.96, 0.4023582270169555
485.064, 0.4835792831632973
485.168, 0.47403544860538105
485.273, 0.4265753580483136
485.377, 0.444812321934859
485.481, 0.9590990659442228
485.585, 0.49757187019074994
485.69, 0.4326996435922077
485.794, 0.5899869684149607
485.898, 0.5864394028657711
486.002, 0.47966936410283595
486.107, 0.5491407736767597
486.211, 0.555531548253727
486.315, 0.6052769099443361
486.419, 0.7009818424815861
486.524, 0.6245427188267481
486.628, 0.5040546555331038
486.732, 0.4770664460869784
486.836, 0.5566630212202818
486.94, 0.7344300876474481
487.044, 0.5838945893226832
487.148, 0.512631252435413
487.253, 0.4678748892480618
487.357, 0.5787652465828076
487.461, 0.9671726364261322
487.565, 0.6354528360289042
487.669, 0.5529010921387063
487.773, 0.5285333657028921
487.877, 0.7793097181987909
487.981, 0.7175980408777858
488.085, 0.7025908258548674
488.189, 0.5892226971044963
488.293, 0.911746258261211
488.397, 1.719276073354212
488.501, 0.7548530976730626
488.605, 0.5780144025726288
488.709, 0.5989215425705586
488.813, 0.5497589658789218
488.917, 0.48332215061506695
489.021, 0.604196180420658
489.125, 1.2127598596524218
489.229, 0.6038326537817963
489.333, 0.9422050422076907
489.437, 0.7282656709339004
489.541, 0.6700371661193925
489.645, 0.557287064051443
489.749, 0.6464832231979079
489.853, 0.7391337262508287
489.956, 0.5803806753241696
490.06, 0.7140712629708185
490.164, 0.6662045261832918
490.268, 0.5741721304798216
490.372, 0.6878804134101187
490.476, 0.6056931327493571
490.579, 0.5726216592146887
490.683, 2.142165000349586
490.787, 0.8910925356192476
490.891, 0.6301625996397959
490.995, 0.683000731454866
491.098, 0.6854212013335694
491.202, 0.6170927460404328
491.306, 0.7510894592274054
491.41, 0.7073335193861
491.513, 0.5588249536376672
491.617, 0.6417578684599142
491.721, 1.0506368302834548
491.824, 1.186534517212631
491.928, 0.7041296937440109
492.032, 1.2237942840264562
492.136, 0.7011665278643916
492.239, 0.5655807351926986
492.343, 0.697877070844731
492.446, 1.584697043787751
492.55, 0.8734982459181239
492.654, 0.5670953120038239
492.757, 0.5387247602012336
492.861, 0.781320716629389
492.965, 0.6459240114155783
493.068, 0.7414804653440886
493.172, 0.6508099563659174
493.275, 0.5744455552385209
493.379, 0.5875070882599265
493.482, 0.9075286858377943
493.586, 0.9559482578125317
493.689, 1.2172623572105818
493.793, 0.6767371647308827
493.896, 0.9187644484684463
494.0, 0.8627772867740204
494.103, 0.9168202167242587
494.207, 1.4174423004458363
494.31, 1.6419928478841583
494.414, 0.8978450321608801
494.517, 0.7230449893483645
494.621, 0.5692580604171396
494.724, 0.7070476368984211
494.828, 0.6134518320897189
494.931, 0.6132177871085535
495.034, 0.6014011713660915
495.138, 1.016059417850422
495.241, 0.5879611608787467
495.345, 2.558283985561783
495.448, 1.0459209449331095
495.551, 0.6350177217013886
495.655, 0.6346841174316435
495.758, 0.5950320084929884
495.861, 0.559702958893512
495.965, 0.6081857241145112
496.068, 0.731946355532818
496.171, 0.8069761425585015
496.274, 0.6123356195923576
496.378, 0.6560907763007495
496.481, 0.7481169218332803
496.584, 0.6991771749793959
496.687, 0.755266508100599
496.791, 0.8115179518742274
496.894, 0.8236938649976402
496.997, 0.7053653778722583
497.1, 0.8034122710661676
497.204, 0.8041287844437043
497.307, 0.6073829767936412
497.41, 1.1616132719141634
497.513, 1.293893000559535
497.616, 0.8029850996545308
497.719, 0.7716769059089977
497.823, 0.8222564164327235
497.926, 0.8291003506177597
498.029, 0.9587499652196194
498.132, 0.9983102950782236
498.235, 1.0001700200525057
498.338, 1.1333376352319766
498.441, 1.3688544626692787
498.544, 1.11979088870182
498.647, 1.2551716464901017
498.75, 1.5754848806595352
498.853, 1.7524004428596798
498.956, 1.4636274147071842
499.059, 1.9956269280519694
499.163, 1.5923722537663099
499.266, 1.7195397266569439
499.369, 1.8059888630820056
499.471, 1.894136333016814
499.574, 2.202713269227189
499.677, 2.178315001846508
499.78, 2.340991636626703
499.883, 2.399918023422749
499.986, 2.650138214727447
500.089, 2.6259705614395035
500.192, 2.7266220098181164
500.295, 2.7546539963709518
500.398, 2.6954886350777083
500.501, 2.7066221129362518
500.604, 2.4766961461101937
500.707, 2.3082509880579023
500.809, 2.3161566663791335
500.912, 2.419379120522649
501.015, 2.297872101415782
501.118, 1.9863678236078688
501.221, 2.0178014003420635
501.324, 1.715051808256469
501.426, 1.6564167349198375
501.529, 1.4472336746358394
501.632, 1.4408182238475906
501.735, 1.2084692331199665
501.837, 1.1392361546466292
501.94, 1.1190682041164282
502.043, 1.0367619968540003
502.146, 1.1091715756200158
502.248, 1.0928600636233579
502.351, 0.8765263920211299
502.454, 0.9605271888205391
502.557, 0.7827378851796125
502.659, 0.8710244024089185
502.762, 0.7082897212359446
502.865, 0.6413452909921534
502.967, 0.605394116438981
503.07, 0.6550472230732909
503.173, 0.7372187379566358
503.275, 0.6119139425976415
503.378, 0.5641229626434949
503.48, 0.528956349419962
503.583, 0.7479722117402513
503.686, 0.6671323491592595
503.788, 1.2100937135336982
503.891, 0.6309557927483582
503.993, 1.0599873347864548
504.096, 0.574211705379345
504.198, 0.6186172241068829
504.301, 0.4916297280264935
504.403, 0.5894464444327296
504.506, 0.5726502737402817
504.608, 0.5148174367805395
504.711, 0.4605180808171193
504.813, 0.6133284288907935
504.916, 0.4788065570764122
505.018, 0.3279570788412261
505.121, 0.2631638129553323
505.223, 0.3904810398000152
505.326, 0.261360117803213
